"","Team","Game","Spread","Outcome","MIN","PTS","P2p","P3p","FTp","OREB","DREB","AST","TOV","STL","BLK","PF"
"1370","NYK",21900614,-23,"L",48,98,0.453125,0.307692307692308,0.666666666666667,10,30,21,18,12,3,21
"1371","NYK",21900630,-3,"L",48,87,0.46031746031746,0.24,0.611111111111111,12,36,20,14,4,5,18
"1372","NYK",21900643,20,"W",48,106,0.516129032258065,0.391304347826087,0.882352941176471,7,42,17,10,6,9,17
"1373","NYK",21900659,-8,"L",48,92,0.462962962962963,0.323529411764706,0.692307692307692,13,34,24,17,4,4,23
"1374","NYK",21900672,-6,"L",48,112,0.591836734693878,0.361111111111111,0.714285714285714,14,32,26,16,5,4,21
"1375","NYK",21900688,13,"W",48,110,0.589041095890411,0.315789473684211,0.461538461538462,14,34,19,15,7,8,23
"1376","NYK",21900699,-5,"L",48,92,0.537037037037037,0.28125,0.636363636363636,8,34,17,14,5,7,26
"1377","NYK",21900710,-21,"L",48,106,0.476190476190476,0.321428571428571,0.655172413793103,11,35,26,18,9,6,22
"1378","NYK",21900728,7,"W",48,92,0.482142857142857,0.269230769230769,0.739130434782609,14,43,19,13,5,1,20
"1379","NYK",21900742,5,"W",53,139,0.618421052631579,0.384615384615385,0.714285714285714,12,34,33,12,11,1,18
"1380","NYK",21900764,2,"W",48,105,0.513888888888889,0.3,0.684210526315789,10,29,27,14,12,5,23
"1381","NYK",21900779,3,"W",48,95,0.476190476190476,0.363636363636364,0.647058823529412,16,31,24,15,5,6,21
"1382","NYK",21900787,-5,"L",58,135,0.513157894736842,0.382352941176471,0.72,15,41,30,18,12,6,29
"1383","NYK",21900811,-18,"L",48,96,0.507692307692308,0.130434782608696,0.724137931034483,14,38,19,22,10,3,27
"1384","NYK",21900828,-8,"L",48,98,0.428571428571429,0.44,0.68,5,35,21,15,7,7,26
"1385","NYK",21900853,-11,"L",48,112,0.467741935483871,0.379310344827586,0.7,16,38,20,17,12,8,21
"1386","NYK",21900864,-6,"L",48,101,0.557142857142857,0.266666666666667,0.647058823529412,13,29,22,15,5,6,24
"1387","NYK",21900873,-9,"L",48,106,0.566666666666667,0.347826086956522,0.583333333333333,9,30,28,8,2,3,11
"1388","NYK",21900887,10,"W",48,125,0.6,0.4,0.696969696969697,17,33,29,17,6,4,19
"1389","NYK",21900903,2,"W",48,125,0.522388059701492,0.4,0.633333333333333,20,45,26,19,6,7,19
"1390","NYK",21900921,-8,"L",48,104,0.523076923076923,0.35,0.833333333333333,11,31,23,13,3,1,18
"1391","NYK",21900932,-23,"L",48,103,0.552238805970149,0.166666666666667,0.772727272727273,13,35,19,12,4,8,20
"1392","NYK",21900955,12,"W",48,96,0.476190476190476,0.315789473684211,0.72,13,38,15,12,10,5,16
"1393","NYK",21900961,-7,"L",48,115,0.566666666666667,0.380952380952381,0.741935483870968,8,28,30,19,10,3,29
"1394","NYK",21900969,5,"W",53,136,0.590909090909091,0.392857142857143,0.735294117647059,6,41,32,12,14,9,23
"1395","OKC",21900011,-5,"L",48,95,0.392857142857143,0.37037037037037,0.67741935483871,7,41,15,16,5,4,23
"1396","OKC",21900022,-12,"L",48,85,0.466666666666667,0.217391304347826,0.636363636363636,7,42,14,19,7,6,18
"1397","OKC",21900036,28,"W",48,120,0.630434782608696,0.46875,0.772727272727273,8,42,24,24,8,5,26
"1398","OKC",21900045,-4,"L",48,112,0.474576271186441,0.371428571428571,0.708333333333333,16,36,22,15,7,3,27
"1399","OKC",21900062,-3,"L",48,99,0.508771929824561,0.148148148148148,0.783783783783784,13,42,15,19,8,2,21
"1400","OKC",21900077,11,"W",48,115,0.490566037735849,0.405405405405405,0.782608695652174,8,36,20,12,8,11,20
"1401","OKC",21900101,8,"W",48,102,0.471698113207547,0.363636363636364,0.8,7,31,21,9,9,5,23
"1402","OKC",21900113,-9,"L",48,112,0.542372881355932,0.476190476190476,0.75,4,27,26,13,7,2,14
"1403","OKC",21900131,6,"W",48,114,0.591836734693878,0.466666666666667,0.823529411764706,7,35,30,19,7,5,17
"1404","OKC",21900135,-2,"L",48,119,0.571428571428571,0.404761904761905,0.705882352941177,5,30,31,15,11,4,20
"1405","OKC",21900146,-26,"L",48,85,0.403508771929825,0.24,0.875,9,31,19,15,9,4,16
"1406","OKC",21900172,8,"W",53,127,0.596153846153846,0.416666666666667,0.853658536585366,6,30,22,13,7,3,23
"1407","OKC",21900197,-2,"L",48,88,0.4375,0.259259259259259,0.892857142857143,9,36,17,17,12,4,19
"1408","OKC",21900201,-5,"L",48,107,0.557692307692308,0.321428571428571,0.88,8,31,22,16,10,2,22
"1409","OKC",21900220,-3,"L",48,127,0.612903225806452,0.354838709677419,0.9,6,31,28,12,8,3,23
"1410","OKC",21900250,3,"W",48,100,0.547169811320755,0.34375,0.818181818181818,9,34,26,16,5,13,16
"1411","OKC",21900265,-17,"L",48,119,0.528301886792453,0.314285714285714,0.789473684210526,8,30,19,6,4,2,21
"1412","OKC",21900275,5,"W",48,109,0.535714285714286,0.382352941176471,0.625,6,36,27,11,6,8,17
"1413","OKC",21900289,3,"W",48,107,0.5625,0.333333333333333,0.769230769230769,5,42,19,11,5,3,14
"1414","OKC",21900312,-7,"L",48,100,0.551724137931034,0.346153846153846,0.9,8,29,25,13,3,5,19
"1415","OKC",21900326,12,"W",53,139,0.628571428571429,0.277777777777778,0.9,9,30,19,10,8,9,20
"1416","OKC",21900341,12,"W",48,108,0.452830188679245,0.34375,0.794117647058823,13,41,12,10,7,2,22
"1417","OKC",21900350,14,"W",48,104,0.56140350877193,0.285714285714286,0.842105263157895,2,44,21,11,9,7,20
"1418","OKC",21900365,-1,"L",48,93,0.456521739130435,0.393939393939394,0.666666666666667,7,36,24,18,8,8,16
"1419","OKC",21900387,-8,"L",48,102,0.551724137931034,0.260869565217391,0.869565217391304,7,30,22,15,7,3,23
"1420","OKC",21900399,3,"W",48,109,0.542857142857143,0.470588235294118,0.821428571428571,9,33,21,26,8,6,15
"1421","OKC",21900412,4,"W",48,126,0.65,0.291666666666667,0.794117647058823,6,29,25,12,6,6,16
"1422","OKC",21900426,18,"W",48,126,0.619047619047619,0.416666666666667,0.857142857142857,8,33,23,15,7,7,23
"1423","OKC",21900442,6,"W",48,118,0.528571428571429,0.333333333333333,0.85,16,33,24,12,10,4,20
"1424","OKC",21900462,-13,"L",48,97,0.491228070175439,0.285714285714286,0.846153846153846,7,27,23,9,11,4,14
"1425","OKC",21900467,2,"W",53,104,0.603448275862069,0.161290322580645,0.612903225806452,10,39,19,14,8,4,23
"1426","OKC",21900486,1,"W",48,98,0.533333333333333,0.303030303030303,0.869565217391304,8,35,15,17,8,6,14
"1427","OKC",21900503,5,"W",48,106,0.515625,0.222222222222222,0.785714285714286,18,38,18,12,7,5,21
"1428","OKC",21900514,6,"W",48,109,0.53125,0.36,0.7,8,35,19,4,7,6,14
"1429","OKC",21900527,15,"W",48,121,0.491525423728814,0.378378378378378,0.807692307692308,18,34,24,12,6,4,16
"1430","OKC",21900541,-7,"L",48,113,0.466666666666667,0.413793103448276,0.67741935483871,14,33,17,13,3,3,22
"1431","OKC",21900550,8,"W",53,111,0.490909090909091,0.297297297297297,0.827586206896552,8,43,19,17,11,3,15
