Catchment name,NZTM_Easting,NZTM_Northing,Region,Segment length,Suspended sediment load,Ammoniacal nitrogen median pH,ANZECC elevation class,CHLA Mean,Dissolved oxygen,E. coli median,Temperature,Total nitrogen median,Total phosphorus median,Total suspended solids,Turbidity median,Visual clarity median
Waikato River,1789838,5829188,Waikato,2014.984424,39078,0.013946388,lowland,22.39573659,9.7555,95.13686312,16.0325,0.593284605,0.036593611,14.10262637,3.070976485,1.257082447
Waikato River,1788611,5828275,Waikato,342.4848807,213382.7,0.02462278,lowland,21.17500951,9.1639,417.3912362,15.166,1.097905592,0.073076496,14.73329891,11.75046313,0.623199006
Waikato River,1788627,5828088,Waikato,42.43360216,213382.7,0.0262455,lowland,20.54370008,9.1639,415.5437997,15.166,1.097905592,0.073076496,14.73329891,8.319927171,0.692176782
Waikato River,1790592,5828196,Waikato,594.0773619,39033.8,0.013986028,lowland,22.49840659,9.7575,95.28046674,16.0325,0.595512096,0.036551625,14.07019123,3.070976485,1.255138009
Waikato River,1789269,5827868,Waikato,1459.076993,206363.9,0.024446366,lowland,20.54450719,9.1639,416.8623376,15.1567,1.099531293,0.073329484,14.44109084,11.81029065,0.614904175
Waikato River,1791088,5827702,Waikato,806.2501789,39009.3,0.014013381,lowland,22.51443358,9.7555,95.56639282,16.0325,0.59461687,0.036512455,14.09613337,3.070905587,1.262804282
Waikato River,1789864,5827466,Waikato,204.8892618,206320.9,0.024484525,lowland,20.71771273,9.1665,413.4160197,15.1569,1.097330741,0.073329484,14.44109084,11.87473249,0.613562115
Waikato River,1791863,5827289,Waikato,1086.601154,38876.9,0.014010942,lowland,22.10497947,9.7555,93.95344763,16.0396,0.591330138,0.036477714,14.06695182,3.044951995,1.264116916
Waikato River,1789663,5827160,Waikato,574.3658181,206320.9,0.024484525,lowland,20.67020114,9.1665,413.4160197,15.1569,1.096604932,0.073404059,14.44109084,11.8418079,0.613562115
Waikato River,1789424,5826739,Waikato,464.6404114,206169.8,0.024373423,lowland,21.64746907,9.1489,414.9907098,15.1528,1.095829984,0.073404059,14.67573969,11.90725719,0.611096818
Waikato River,1792566,5826648,Waikato,883.845974,38854.6,0.013987345,lowland,22.29849289,9.7555,93.96558,16.0396,0.590560887,0.036480168,14.06695182,3.008220128,1.266737549
Waikato River,1789366,5826213,Waikato,687.106218,205632.6,0.024410283,lowland,21.73678401,9.1602,410.7925617,15.1553,1.095879554,0.073346509,14.54454032,11.84471532,0.61428291
Waikato River,1793166,5825930,Waikato,1051.455915,38830.5,0.013981252,lowland,22.31914859,9.7552,93.49685671,16.0429,0.588045439,0.036428194,14.16445927,3.002165186,1.268399759
Waikato River,1789546,5825782,Waikato,324.9106081,205598.2,0.02448771,lowland,20.98371991,9.1616,412.2207341,15.167,1.095879554,0.073346509,14.56464823,11.81691591,0.61428291
Waikato River,1793849,5825711,Waikato,494.6576995,38630.8,0.014049534,lowland,22.23556607,9.7537,94.05894903,16.0539,0.581966924,0.036437952,14.18404172,2.97811614,1.268516676
Waikato River,1794766,5825292,Waikato,1685.86014,38355.4,0.013949728,lowland,22.58742638,9.754,93.84918085,16.0539,0.582336266,0.036339093,14.07343138,2.908852412,1.280181842
Waikato River,1789036,5825137,Waikato,1385.756439,203811.1,0.02428868,lowland,20.62374144,9.1601,415.5557537,15.1661,1.093573933,0.073548398,14.38467321,11.92246188,0.613862857
Waikato River,1795428,5824700,Waikato,192.4668554,38184.1,0.014059412,lowland,22.72329304,9.7548,93.21364973,16.0592,0.584931043,0.036462954,14.07343138,2.907304338,1.272454216
Waikato River,1795459,5824565,Waikato,102.4480435,38184.1,0.014059412,lowland,22.81886299,9.7548,93.21364973,16.0592,0.584931043,0.036462954,14.07343138,2.907304338,1.272454216
Waikato River,1795489,5824237,Waikato,577.4010349,38151.7,0.014089135,lowland,22.67647128,9.759,92.83776285,16.0609,0.584931043,0.036627324,14.04106339,2.908014158,1.272454216
Waikato River,1788158,5823981,Waikato,1652.782327,202840.2,0.024256142,lowland,20.94636969,9.1554,416.5066718,15.1606,1.091162405,0.073548398,14.38467321,11.83848355,0.614812641
Waikato River,1787450,5823211,Waikato,542.2236038,202085.2,0.02437515,lowland,22.11484173,9.1355,416.7572331,15.1596,1.089727269,0.0737808,14.42447449,11.83668362,0.612992675
Waikato River,1786820,5823029,Waikato,906.5472521,196891.4,0.024414751,lowland,21.0800898,9.1481,417.1868838,15.1702,1.087897196,0.073495585,14.32517711,12.00935579,0.60549665
Waikato River,1795839,5823265,Waikato,1655.867099,38111.5,0.013951851,lowland,22.52849159,9.7627,92.9990221,16.0609,0.584491803,0.036599476,14.07343138,2.899218847,1.273578563
